行政名称, 行政编码, 行政等级
北京市, 110000, province
北京城区, 110100, city
昌平区, 110114, district
朝阳区, 110105, district
大兴区, 110115, district
东城区, 110101, district
房山区, 110111, district
丰台区, 110106, district
海淀区, 110108, district
怀柔区, 110116, district
密云区, 110118, district
门头沟区, 110109, district
平谷区, 110117, district
石景山区, 110107, district
顺义区, 110113, district
通州区, 110112, district
西城区, 110102, district
延庆区, 110119, district
贵州省, 520000, province
安顺市, 520400, city
关岭布依族苗族自治县, 520424, district
平坝区, 520403, district
普定县, 520422, district
西秀区, 520402, district
镇宁布依族苗族自治县, 520423, district
紫云苗族布依族自治县, 520425, district
毕节市, 520500, city
大方县, 520521, district
赫章县, 520527, district
金沙县, 520523, district
纳雍县, 520525, district
七星关区, 520502, district
黔西县, 520522, district
威宁彝族回族苗族自治县, 520526, district
织金县, 520524, district
贵阳市, 520100, city
白云区, 520113, district
观山湖区, 520115, district
花溪区, 520111, district
开阳县, 520121, district
南明区, 520102, district
清镇市, 520181, district
乌当区, 520112, district
息烽县, 520122, district
修文县, 520123, district
云岩区, 520103, district
六盘水市, 520200, city
六枝特区, 520203, district
盘州市, 520281, district
水城县, 520221, district
钟山区, 520201, district
黔西南布依族苗族自治州, 522300, city
安龙县, 522328, district
册亨县, 522327, district
普安县, 522323, district
晴隆县, 522324, district
望谟县, 522326, district
兴仁县, 522322, district
兴义市, 522301, district
贞丰县, 522325, district
黔南布依族苗族自治州, 522700, city
都匀市, 522701, district
独山县, 522726, district
福泉市, 522702, district
贵定县, 522723, district
惠水县, 522731, district
荔波县, 522722, district
龙里县, 522730, district
罗甸县, 522728, district
平塘县, 522727, district
三都水族自治县, 522732, district
瓮安县, 522725, district
长顺县, 522729, district
黔东南苗族侗族自治州, 522600, city
岑巩县, 522626, district
从江县, 522633, district
丹寨县, 522636, district
黄平县, 522622, district
剑河县, 522629, district
锦屏县, 522628, district
凯里市, 522601, district
雷山县, 522634, district
黎平县, 522631, district
麻江县, 522635, district
三穗县, 522624, district
榕江县, 522632, district
施秉县, 522623, district
台江县, 522630, district
天柱县, 522627, district
镇远县, 522625, district
铜仁市, 520600, city
碧江区, 520602, district
德江县, 520626, district
江口县, 520621, district
石阡县, 520623, district
思南县, 520624, district
松桃苗族自治县, 520628, district
万山区, 520603, district
沿河土家族自治县, 520627, district
印江土家族苗族自治县, 520625, district
玉屏侗族自治县, 520622, district
遵义市, 520300, city
播州区, 520304, district
赤水市, 520381, district
道真仡佬族苗族自治县, 520325, district
凤冈县, 520327, district
红花岗区, 520302, district
汇川区, 520303, district
湄潭县, 520328, district
仁怀市, 520382, district
绥阳县, 520323, district
桐梓县, 520322, district
务川仡佬族苗族自治县, 520326, district
习水县, 520330, district
余庆县, 520329, district
正安县, 520324, district
澳门特别行政区, 820000, province
花王堂区, 820002, district
望德堂区, 820003, district
大堂区, 820004, district
风顺堂区, 820005, district
花地玛堂区, 820001, district
嘉模堂区, 820006, district
圣方济各堂区, 820008, district
路凼填海区, 820007, district
福建省, 350000, province
福州市, 350100, city
仓山区, 350104, district
福清市, 350181, district
鼓楼区, 350102, district
晋安区, 350111, district
连江县, 350122, district
罗源县, 350123, district
马尾区, 350105, district
闽侯县, 350121, district
闽清县, 350124, district
平潭县, 350128, district
台江区, 350103, district
永泰县, 350125, district
长乐区, 350182, district
龙岩市, 350800, city
连城县, 350825, district
上杭县, 350823, district
武平县, 350824, district
新罗区, 350802, district
永定区, 350803, district
漳平市, 350881, district
长汀县, 350821, district
南平市, 350700, city
光泽县, 350723, district
建瓯市, 350783, district
建阳区, 350703, district
浦城县, 350722, district
邵武市, 350781, district
顺昌县, 350721, district
松溪县, 350724, district
武夷山市, 350782, district
延平区, 350702, district
政和县, 350725, district
宁德市, 350900, city
福鼎市, 350982, district
福安市, 350981, district
古田县, 350922, district
蕉城区, 350902, district
屏南县, 350923, district
寿宁县, 350924, district
霞浦县, 350921, district
柘荣县, 350926, district
周宁县, 350925, district
厦门市, 350200, city
海沧区, 350205, district
湖里区, 350206, district
集美区, 350211, district
思明区, 350203, district
同安区, 350212, district
翔安区, 350213, district
莆田市, 350300, city
城厢区, 350302, district
涵江区, 350303, district
荔城区, 350304, district
仙游县, 350322, district
秀屿区, 350305, district
三明市, 350400, city
大田县, 350425, district
建宁县, 350430, district
将乐县, 350428, district
梅列区, 350402, district
明溪县, 350421, district
宁化县, 350424, district
清流县, 350423, district
三元区, 350403, district
沙县, 350427, district
泰宁县, 350429, district
永安市, 350481, district
尤溪县, 350426, district
泉州市, 350500, city
安溪县, 350524, district
德化县, 350526, district
丰泽区, 350503, district
惠安县, 350521, district
金门县, 350527, district
晋江市, 350582, district
鲤城区, 350502, district
洛江区, 350504, district
南安市, 350583, district
泉港区, 350505, district
石狮市, 350581, district
永春县, 350525, district
漳州市, 350600, city
东山县, 350626, district
华安县, 350629, district
